adren|$alina	adrena
bat$er|ista	batera
berm|$uda	bermas
bob|$eira	bobis
bur$ocr|ata	burocra
cerv|$eja	cerva
del$eg|ado	delega
flagr|$ante	flagra
for$ast|eira	forasta
fort|$una	furta
neur|$ose	neura
pij|$ama	pija
#port$ug|uês	portuga
#prol$et|ário	proleta
refr$i|gerante	refri
#sal$afrá|rio	salafra
#sap$at|ão	sapata
saud$ad|es	saudas
#secr$et|ária	secreta
trav|$esti	trava
vag$ab|unda	vagaba
vest$ib|ular	vestiba
bel$e|za	belê
#burg|$uês	burga
#chin|$ês	china
cruz|$eiro	cruza
#dem|$ônio	demo
fiss$u|ra	fissu
#milh|$ão	milha
mulh|$er	mulha
#palh|$aço	palha
#pisç|$ina	piscina
playb|$oy	playba
#preg$ui|ça	pregui
sarg|$ento	sarja
Bras|$il	Brasa
pirr|$alho	pirras
#tranq$üi|lo	tranquis
tranq$ui|lo	tranquis
fals$i|ficado	falsi
#jab$a|culê	jabá
bij$u|teria	biju
#bis|$avó	bisa
caf|$ajeste	cafa
carn|$aval	carna
#coc|$aína	coca
#conf|$usão	confa
#disp$o|sição	dispô
fac$u|ldade	facu
#Jap|$onês	Japa
lot|$eria	loto
met$al|eiro	metal
mord$o|mia	mordô
#prej$u|ízo	preju
prof$i|ssional	profi
#trans|$ação	transa
trogl$o|dita	troglô
#sacr$ist|ão	sacrista
#sal$afr|ário	salafra
an$alf|abeto	analfa
ball$ant|ines	balanta
balz$aq|uiana	balzaca
bot$eq|uim	boteco
cac$ete|te	cacete
#caf$et|ão	cafeta
#cap$it|ão	capita
carp$in|teiro	carpina
cat$eg|oria	catega
cel$ul|ar	celula
ces$aria|na	cesária
#com$iss|ão	comissa
#com$iss|ário	comissa
com$un|ista	comuna
#cons$um|ação	consuma
cort$es|ia	cortesa
madr$ug|ada	madruga
man$eq|uim	maneca
mot$oc|icleta	motoca
nat$ur|eza	natura
per$if|eria	perifa
prol$et|ariado	proleta
rap$az|iada	rapaze
#reaç|$ão	reaça
resp$ons|abilidade	responsa
tel$ef|one	telefa
traf$ic|ante	trafica
vent$il|ador	ventila
#viol|$ão	viola
